timestamp,user_id,success,reason,context
2025-11-03 21:24:59.810081,USER-0022,True,Authentication successful,{}
2025-11-03 21:24:59.810108,USER-0008,True,Authentication successful,{}
2025-11-03 21:24:59.810129,USER-0004,True,Authentication successful,{}
2025-11-03 21:24:59.810150,USER-0026,True,Authentication successful,{}
2025-11-03 21:24:59.813043,USER-0023,True,Authentication successful,"{'device_id': 'DEV-0007', 'location': 'office', 'ip_address': '41.38.9.43'}"
2025-11-03 21:24:59.813055,USER-0010,True,Authentication successful,{}
2025-11-03 21:24:59.813098,USER-0046,True,Authentication successful,"{'device_id': 'DEV-0030', 'location': 'office', 'ip_address': '176.194.127.202'}"
2025-11-03 21:24:59.813116,USER-0009,True,Authentication successful,{}
2025-11-03 21:24:59.813128,USER-0010,True,Authentication successful,{}
2025-11-03 21:24:59.813140,USER-0027,True,Authentication successful,{}
2025-11-03 21:24:59.813159,USER-0018,True,Authentication successful,{}
2025-11-03 21:24:59.813195,USER-0015,True,Authentication successful,"{'device_id': 'DEV-0061', 'location': 'office', 'ip_address': '147.13.40.88'}"
2025-11-03 21:24:59.813225,USER-0030,True,Authentication successful,"{'device_id': 'DEV-0015', 'location': 'hybrid', 'ip_address': '154.175.11.172'}"
2025-11-03 21:24:59.813254,USER-0002,True,Authentication successful,{}
2025-11-03 21:24:59.813294,USER-0049,True,Authentication successful,"{'device_id': 'DEV-0056', 'location': 'office', 'ip_address': '180.83.110.202'}"
2025-11-03 21:24:59.813324,USER-0020,True,Authentication successful,"{'device_id': 'DEV-0040', 'location': 'office', 'ip_address': '89.82.238.207'}"
2025-11-03 21:24:59.813332,USER-0008,True,Authentication successful,{}
2025-11-03 21:24:59.813364,USER-0046,True,Authentication successful,"{'device_id': 'DEV-0030', 'location': 'office', 'ip_address': '9.165.140.56'}"
2025-11-03 21:24:59.813372,USER-0019,True,Authentication successful,{}
2025-11-03 21:24:59.813404,USER-0048,True,Authentication successful,"{'device_id': 'DEV-0036', 'location': 'remote', 'ip_address': '99.137.196.176'}"
2025-11-03 21:24:59.813413,USER-0027,True,Authentication successful,{}
2025-11-03 21:24:59.813443,USER-0044,True,Authentication successful,"{'device_id': 'DEV-0070', 'location': 'hybrid', 'ip_address': '71.198.56.238'}"
2025-11-03 21:24:59.813451,USER-0025,True,Authentication successful,{}
2025-11-03 21:24:59.813467,USER-0016,True,Authentication successful,{}
2025-11-03 21:24:59.813478,USER-0047,True,Authentication successful,{}
2025-11-03 21:24:59.813508,USER-0027,True,Authentication successful,"{'device_id': 'DEV-0007', 'location': 'remote', 'ip_address': '184.99.181.43'}"
2025-11-03 21:24:59.813535,USER-0040,True,Authentication successful,"{'device_id': 'DEV-0017', 'location': 'hybrid', 'ip_address': '218.68.196.95'}"
2025-11-03 21:24:59.813543,USER-0024,True,Authentication successful,{}
2025-11-03 21:24:59.813579,USER-0012,True,Authentication successful,"{'device_id': 'DEV-0023', 'location': 'hybrid', 'ip_address': '48.242.29.50'}"
2025-11-03 21:24:59.813587,USER-0022,True,Authentication successful,{}
2025-11-03 21:24:59.813597,USER-0014,False,Invalid credentials,{}
2025-11-03 21:24:59.813604,USER-0048,True,Authentication successful,{}
2025-11-03 21:24:59.813615,USER-0032,True,Authentication successful,{}
2025-11-03 21:24:59.813645,USER-0048,True,Authentication successful,"{'device_id': 'DEV-0036', 'location': 'remote', 'ip_address': '77.70.198.248'}"
